File Name,Objective Function Calls,Threads,Algorithm Name,Iterations,Best Score,Num Objective Calls,Num Hash Calls,Total Time (ms),Iterations,Restarts
crc_64,10000,12,Many Sequential Memetic,0,0.499331,1560012,1610022912,70382,24,0
crc_64,10000,12,Many Sequential Memetic,1,0.499331,1560012,1610022912,70855,24,0
crc_64,10000,12,Many Sequential Memetic,2,0.49933,1560012,1610022912,70245,24,0
crc_64,10000,12,Parallel Memetic,0,0.499676,1030002,1056817152,58716,17,0
crc_64,10000,12,Parallel Memetic,1,0.49941,1030002,1056817152,60211,17,0
crc_64,10000,12,Parallel Memetic,2,0.499798,1030002,1056817152,60384,17,0
crc_64,10000,12,Parallel Random Walk,0,0.499685,1000002,1026097152,65676,99,0
crc_64,10000,12,Parallel Random Walk,1,0.499338,1000002,1026097152,65189,99,0
crc_64,10000,12,Parallel Random Walk,2,0.499376,1000002,1026097152,64944,99,0
crc_64,10000,12,Sequential Memetic,0,0.499125,1030002,1056817152,265506,17,0
crc_64,10000,12,Sequential Memetic,1,0.4993,1030002,1056817152,264040,17,0
crc_64,10000,12,Sequential Memetic,2,0.49929,1030002,1056817152,266460,17,0
lfsr_64,10000,12,Many Sequential Memetic,0,0.499686,1560012,1610022912,70356,24,0
lfsr_64,10000,12,Many Sequential Memetic,1,0.499649,1560012,1610022912,70016,24,0
lfsr_64,10000,12,Many Sequential Memetic,2,0.49967,1560012,1610022912,68193,24,0
lfsr_64,10000,12,Parallel Memetic,0,0.499667,1030002,1056817152,60567,17,0
lfsr_64,10000,12,Parallel Memetic,1,0.500113,1030002,1056817152,58882,17,0
lfsr_64,10000,12,Parallel Memetic,2,0.500386,1030002,1056817152,57185,17,0
lfsr_64,10000,12,Parallel Random Walk,0,0.499627,1000002,1026097152,65376,99,0
lfsr_64,10000,12,Parallel Random Walk,1,0.499748,1000002,1026097152,64600,99,0
lfsr_64,10000,12,Parallel Random Walk,2,0.499606,1000002,1026097152,62918,99,0
lfsr_64,10000,12,Sequential Memetic,0,0.499565,1030002,1056817152,263045,17,0
