File Name,Objective Function Calls Min,Objective Function Calls Mean,Objective Function Calls Max,Threads Min,Threads Mean,Threads Max,Algorithm Name,Iteration Min,Iteration Mean,Iteration Max,Best Score Min,Best Score Mean,Best Score Max,Num Objective Calls Min,Num Objective Calls Mean,Num Objective Calls Max,Num Hash Calls Min,Num Hash Calls Mean,Num Hash Calls Max,Total Time (ms) Min,Total Time (ms) Mean,Total Time (ms) Max,Iterations Min,Iterations Mean,Iterations Max,Restarts Min,Restarts Mean,Restarts Max
crc_64,10000.0,10000.0,10000.0,12.0,12.0,12.0,Many Sequential Memetic,0.0,1.0,2.0,0.49933,0.49933066666666664,0.499331,1560012.0,1560012.0,1560012.0,1610022912.0,1610022912.0,1610022912.0,70245.0,70494.0,70855.0,24.0,24.0,24.0,0.0,0.0,0.0
crc_64,10000.0,10000.0,10000.0,12.0,12.0,12.0,Parallel Memetic,0.0,1.0,2.0,0.49941,0.499628,0.499798,1030002.0,1030002.0,1030002.0,1056817152.0,1056817152.0,1056817152.0,58716.0,59770.333333333336,60384.0,17.0,17.0,17.0,0.0,0.0,0.0
crc_64,10000.0,10000.0,10000.0,12.0,12.0,12.0,Parallel Random Walk,0.0,1.0,2.0,0.499338,0.49946633333333335,0.499685,1000002.0,1000002.0,1000002.0,1026097152.0,1026097152.0,1026097152.0,64944.0,65269.666666666664,65676.0,99.0,99.0,99.0,0.0,0.0,0.0
crc_64,10000.0,10000.0,10000.0,12.0,12.0,12.0,Sequential Memetic,0.0,1.0,2.0,0.499125,0.4992383333333333,0.4993,1030002.0,1030002.0,1030002.0,1056817152.0,1056817152.0,1056817152.0,264040.0,265335.3333333333,266460.0,17.0,17.0,17.0,0.0,0.0,0.0
lfsr_64,10000.0,10000.0,10000.0,12.0,12.0,12.0,Many Sequential Memetic,0.0,1.0,2.0,0.499649,0.4996683333333334,0.499686,1560012.0,1560012.0,1560012.0,1610022912.0,1610022912.0,1610022912.0,68193.0,69521.66666666667,70356.0,24.0,24.0,24.0,0.0,0.0,0.0
lfsr_64,10000.0,10000.0,10000.0,12.0,12.0,12.0,Parallel Memetic,0.0,1.0,2.0,0.499667,0.5000553333333334,0.500386,1030002.0,1030002.0,1030002.0,1056817152.0,1056817152.0,1056817152.0,57185.0,58878.0,60567.0,17.0,17.0,17.0,0.0,0.0,0.0
lfsr_64,10000.0,10000.0,10000.0,12.0,12.0,12.0,Parallel Random Walk,0.0,1.0,2.0,0.499606,0.4996603333333334,0.499748,1000002.0,1000002.0,1000002.0,1026097152.0,1026097152.0,1026097152.0,62918.0,64298.0,65376.0,99.0,99.0,99.0,0.0,0.0,0.0
lfsr_64,10000.0,10000.0,10000.0,12.0,12.0,12.0,Sequential Memetic,0.0,1.0,2.0,0.499565,0.49985799999999997,0.500386,1030002.0,1030002.0,1030002.0,1056817152.0,1056817152.0,1056817152.0,246996.0,257133.66666666666,263045.0,17.0,17.0,17.0,0.0,0.0,0.0
random_16,10000.0,10000.0,10000.0,12.0,12.0,12.0,Many Sequential Memetic,0.0,1.0,2.0,0.150757,0.165019,0.173279,1560012.0,1560012.0,1560012.0,1598226432.0,1598226432.0,1598226432.0,30035.0,30634.666666666668,31134.0,24.0,24.0,24.0,0.0,0.0,0.0
random_16,10000.0,10000.0,10000.0,12.0,12.0,12.0,Parallel Memetic,0.0,1.0,2.0,0.21875,0.2429403333333333,0.259827,1030002.0,1030002.0,1030002.0,1054851072.0,1054851072.0,1054851072.0,29256.0,31994.666666666668,33483.0,17.0,17.0,17.0,0.0,0.0,0.0
