File Name,Objective Function Calls Min,Objective Function Calls Mean,Objective Function Calls Max,Threads Min,Threads Mean,Threads Max,Algorithm Name,Iteration Min,Iteration Mean,Iteration Max,Best Score Min,Best Score Mean,Best Score Max,Num Objective Calls Min,Num Objective Calls Mean,Num Objective Calls Max,Num Hash Calls Min,Num Hash Calls Mean,Num Hash Calls Max,Total Time (ms) Min,Total Time (ms) Mean,Total Time (ms) Max,Iterations Min,Iterations Mean,Iterations Max,Restarts Min,Restarts Mean,Restarts Max
random_64_24,10.0,10.0,10.0,12.0,12.0,12.0,Many Sequential Memetic,0.0,1.0,2.0,0.158163,0.32477,0.408247,1000392.0,1000412.0,1000452.0,1036972032.0,1036992512.0,1037033472.0,22325.0,22649.666666666668,22974.0,16671.0,16671.333333333332,16672.0,0.0,0.0,0.0
random_64_24,10.0,10.0,10.0,12.0,12.0,12.0,Parallel Memetic,0.0,1.0,2.0,0.157844,0.324579,0.407959,1000032.0,1000032.0,1000032.0,1026127872.0,1026127872.0,1026127872.0,42992.0,44471.666666666664,46137.0,16667.0,16667.0,16667.0,0.0,0.0,0.0
random_64_24,10.0,10.0,10.0,12.0,12.0,12.0,Parallel Random Walk,0.0,1.0,2.0,0.407906,0.40790599999999994,0.407906,1000002.0,1000002.0,1000002.0,1026097152.0,1026097152.0,1026097152.0,46874.0,47454.333333333336,48268.0,99999.0,99999.0,99999.0,0.0,0.0,0.0
random_64_24,10.0,10.0,10.0,12.0,12.0,12.0,Sequential Memetic,0.0,1.0,2.0,0.157695,0.158196,0.15853,1000032.0,1000032.0,1000032.0,1026127872.0,1026127872.0,1026127872.0,131519.0,132591.33333333334,134712.0,16667.0,16667.0,16667.0,0.0,0.0,0.0
random_64_24,10.0,10.0,10.0,2.0,2.0,2.0,Many Sequential Memetic,0.0,1.0,2.0,0.157891,0.24138733333333337,0.408198,1000042.0,1000062.0,1000102.0,1026138112.0,1026158592.0,1026199552.0,76631.0,77704.66666666667,78597.0,16667.0,16667.333333333332,16668.0,0.0,0.0,0.0
random_64_24,10.0,10.0,10.0,2.0,2.0,2.0,Parallel Memetic,0.0,1.0,2.0,0.157743,0.24142066666666664,0.408006,1000032.0,1000032.0,1000032.0,1026127872.0,1026127872.0,1026127872.0,84675.0,88935.66666666667,92562.0,16667.0,16667.0,16667.0,0.0,0.0,0.0
random_64_24,10.0,10.0,10.0,2.0,2.0,2.0,Parallel Random Walk,0.0,1.0,2.0,0.269221,0.284248,0.314302,1000002.0,1000002.0,1000002.0,1026097152.0,1026097152.0,1026097152.0,92262.0,96865.33333333333,99313.0,99999.0,99999.0,99999.0,0.0,0.0,0.0
random_64_24,10.0,10.0,10.0,2.0,2.0,2.0,Sequential Memetic,0.0,1.0,2.0,0.157734,0.157952,0.158344,1000032.0,1000032.0,1000032.0,1026127872.0,1026127872.0,1026127872.0,116231.0,125100.33333333333,137713.0,16667.0,16667.0,16667.0,0.0,0.0,0.0
random_64_24,10.0,10.0,10.0,6.0,6.0,6.0,Many Sequential Memetic,0.0,1.0,2.0,0.157985,0.3246523333333333,0.408006,1000146.0,1000186.0,1000206.0,1030434816.0,1030475776.0,1030496256.0,31718.0,31918.666666666668,32209.0,16668.0,16668.666666666668,16669.0,0.0,0.0,0.0
random_64_24,10.0,10.0,10.0,6.0,6.0,6.0,Parallel Memetic,0.0,1.0,2.0,0.157824,0.32463766666666666,0.408099,1000032.0,1000032.0,1000032.0,1026127872.0,1026127872.0,1026127872.0,48734.0,49059.666666666664,49375.0,16667.0,16667.0,16667.0,0.0,0.0,0.0
random_64_24,10.0,10.0,10.0,6.0,6.0,6.0,Parallel Random Walk,0.0,1.0,2.0,0.314302,0.35413500000000003,0.407906,1000002.0,1000002.0,1000002.0,1026097152.0,1026097152.0,1026097152.0,61793.0,61918.666666666664,62113.0,99999.0,99999.0,99999.0,0.0,0.0,0.0
random_64_24,10.0,10.0,10.0,6.0,6.0,6.0,Sequential Memetic,0.0,1.0,2.0,0.15776,0.24124299999999999,0.408022,1000032.0,1000032.0,1000032.0,1026127872.0,1026127872.0,1026127872.0,134961.0,136285.0,138903.0,16667.0,16667.0,16667.0,0.0,0.0,0.0
random_64_24,100.0,100.0,100.0,12.0,12.0,12.0,Many Sequential Memetic,0.0,1.0,2.0,0.158049,0.15810533333333335,0.158178,1003212.0,1003812.0,1004412.0,1039859712.0,1040474112.0,1041088512.0,21983.0,22272.333333333332,22734.0,1670.0,1671.0,1672.0,0.0,0.0,0.0
random_64_24,100.0,100.0,100.0,12.0,12.0,12.0,Parallel Memetic,0.0,1.0,2.0,0.157926,0.15799266666666667,0.158101,1000302.0,1000302.0,1000302.0,1026404352.0,1026404352.0,1026404352.0,36039.0,37503.666666666664,40308.0,1667.0,1667.0,1667.0,0.0,0.0,0.0
random_64_24,100.0,100.0,100.0,12.0,12.0,12.0,Parallel Random Walk,0.0,1.0,2.0,0.269221,0.26935233333333336,0.269509,1000002.0,1000002.0,1000002.0,1026097152.0,1026097152.0,1026097152.0,40236.0,40623.333333333336,40841.0,9999.0,9999.0,9999.0,0.0,0.0,0.0
random_64_24,100.0,100.0,100.0,12.0,12.0,12.0,Sequential Memetic,0.0,1.0,2.0,0.157847,0.15799933333333332,0.15811,1000302.0,1000302.0,1000302.0,1026404352.0,1026404352.0,1026404352.0,119925.0,123961.0,130895.0,1667.0,1667.0,1667.0,0.0,0.0,0.0
random_64_24,100.0,100.0,100.0,2.0,2.0,2.0,Many Sequential Memetic,0.0,1.0,2.0,0.157854,0.157943,0.158028,1000402.0,1000402.0,1000402.0,1026506752.0,1026506752.0,1026506752.0,78552.0,80246.0,81194.0,1667.0,1667.0,1667.0,0.0,0.0,0.0
random_64_24,100.0,100.0,100.0,2.0,2.0,2.0,Parallel Memetic,0.0,1.0,2.0,0.157696,0.24111966666666665,0.407896,1000302.0,1000302.0,1000302.0,1026404352.0,1026404352.0,1026404352.0,89374.0,90059.0,90742.0,1667.0,1667.0,1667.0,0.0,0.0,0.0
random_64_24,100.0,100.0,100.0,2.0,2.0,2.0,Parallel Random Walk,0.0,1.0,2.0,0.269221,0.2736713333333333,0.282572,1000002.0,1000002.0,1000002.0,1026097152.0,1026097152.0,1026097152.0,91814.0,92929.66666666667,94477.0,9999.0,9999.0,9999.0,0.0,0.0,0.0
random_64_24,100.0,100.0,100.0,2.0,2.0,2.0,Sequential Memetic,0.0,1.0,2.0,0.157698,0.15784433333333334,0.157918,1000302.0,1000302.0,1000302.0,1026404352.0,1026404352.0,1026404352.0,132514.0,134720.33333333334,135866.0,1667.0,1667.0,1667.0,0.0,0.0,0.0
random_64_24,100.0,100.0,100.0,6.0,6.0,6.0,Many Sequential Memetic,0.0,1.0,2.0,0.157671,0.15777133333333335,0.157942,1001406.0,1002006.0,1002606.0,1031725056.0,1032339456.0,1032953856.0,31342.0,31477.0,31699.0,1668.0,1669.0,1670.0,0.0,0.0,0.0
random_64_24,100.0,100.0,100.0,6.0,6.0,6.0,Parallel Memetic,0.0,1.0,2.0,0.157771,0.15793866666666664,0.158159,1000302.0,1000302.0,1000302.0,1026404352.0,1026404352.0,1026404352.0,44244.0,44824.666666666664,45134.0,1667.0,1667.0,1667.0,0.0,0.0,0.0
random_64_24,100.0,100.0,100.0,6.0,6.0,6.0,Parallel Random Walk,0.0,1.0,2.0,0.269221,0.338454,0.407906,1000002.0,1000002.0,1000002.0,1026097152.0,1026097152.0,1026097152.0,48515.0,49083.0,50059.0,9999.0,9999.0,9999.0,0.0,0.0,0.0
random_64_24,100.0,100.0,100.0,6.0,6.0,6.0,Sequential Memetic,0.0,1.0,2.0,0.15775,0.15799666666666667,0.158403,1000302.0,1000302.0,1000302.0,1026404352.0,1026404352.0,1026404352.0,129018.0,133082.33333333334,136342.0,1667.0,1667.0,1667.0,0.0,0.0,0.0
random_64_24,10000.0,10000.0,10000.0,12.0,12.0,12.0,Many Sequential Memetic,0.0,1.0,2.0,0.158023,0.19522399999999998,0.269494,1560012.0,1560012.0,1560012.0,1610022912.0,1610022912.0,1610022912.0,36160.0,37807.333333333336,39829.0,24.0,24.0,24.0,0.0,0.0,0.0
random_64_24,10000.0,10000.0,10000.0,12.0,12.0,12.0,Parallel Memetic,0.0,1.0,2.0,0.157868,0.195263,0.269528,1030002.0,1030002.0,1030002.0,1056817152.0,1056817152.0,1056817152.0,35385.0,36347.0,37610.0,17.0,17.0,17.0,0.0,0.0,0.0
random_64_24,10000.0,10000.0,10000.0,12.0,12.0,12.0,Parallel Random Walk,0.0,1.0,2.0,0.158294,0.2324183333333333,0.269629,1000002.0,1000002.0,1000002.0,1026097152.0,1026097152.0,1026097152.0,36558.0,37332.333333333336,38534.0,99.0,99.0,99.0,0.0,0.0,0.0
random_64_24,10000.0,10000.0,10000.0,12.0,12.0,12.0,Sequential Memetic,0.0,1.0,2.0,0.157765,0.15778833333333334,0.157821,1030002.0,1030002.0,1030002.0,1056817152.0,1056817152.0,1056817152.0,134105.0,136847.0,142158.0,17.0,17.0,17.0,0.0,0.0,0.0
random_64_24,10000.0,10000.0,10000.0,2.0,2.0,2.0,Many Sequential Memetic,0.0,1.0,2.0,0.158591,0.15905666666666668,0.15991,1100002.0,1100002.0,1100002.0,1128497152.0,1128497152.0,1128497152.0,86603.0,88311.0,89221.0,18.0,18.0,18.0,0.0,0.0,0.0
random_64_24,10000.0,10000.0,10000.0,2.0,2.0,2.0,Parallel Memetic,0.0,1.0,2.0,0.157769,0.15803999999999999,0.158445,1030002.0,1030002.0,1030002.0,1056817152.0,1056817152.0,1056817152.0,87612.0,89083.66666666667,89961.0,17.0,17.0,17.0,0.0,0.0,0.0
random_64_24,10000.0,10000.0,10000.0,2.0,2.0,2.0,Parallel Random Walk,0.0,1.0,2.0,0.269359,0.2695053333333333,0.269777,1000002.0,1000002.0,1000002.0,1026097152.0,1026097152.0,1026097152.0,89117.0,90637.66666666667,93074.0,99.0,99.0,99.0,0.0,0.0,0.0
random_64_24,10000.0,10000.0,10000.0,2.0,2.0,2.0,Sequential Memetic,0.0,1.0,2.0,0.157848,0.1581543333333333,0.158484,1030002.0,1030002.0,1030002.0,1056817152.0,1056817152.0,1056817152.0,133416.0,134653.66666666666,136335.0,17.0,17.0,17.0,0.0,0.0,0.0
random_64_24,10000.0,10000.0,10000.0,6.0,6.0,6.0,Many Sequential Memetic,0.0,1.0,2.0,0.15786,0.15790633333333334,0.15797,1140006.0,1140006.0,1140006.0,1173651456.0,1173651456.0,1173651456.0,35851.0,36780.333333333336,37370.0,18.0,18.0,18.0,0.0,0.0,0.0
random_64_24,10000.0,10000.0,10000.0,6.0,6.0,6.0,Parallel Memetic,0.0,1.0,2.0,0.15826,0.158881,0.160011,1030002.0,1030002.0,1030002.0,1056817152.0,1056817152.0,1056817152.0,45882.0,46210.333333333336,46641.0,17.0,17.0,17.0,0.0,0.0,0.0
random_64_24,10000.0,10000.0,10000.0,6.0,6.0,6.0,Parallel Random Walk,0.0,1.0,2.0,0.158246,0.23226366666666665,0.26929,1000002.0,1000002.0,1000002.0,1026097152.0,1026097152.0,1026097152.0,46495.0,47308.0,47770.0,99.0,99.0,99.0,0.0,0.0,0.0
random_64_24,10000.0,10000.0,10000.0,6.0,6.0,6.0,Sequential Memetic,0.0,1.0,2.0,0.157787,0.15804933333333335,0.158295,1030002.0,1030002.0,1030002.0,1056817152.0,1056817152.0,1056817152.0,135664.0,137376.66666666666,139340.0,17.0,17.0,17.0,0.0,0.0,0.0
